X500,Room Location,Room Space,Room Type,Entry Status
suman011,Green Prairie,GP 106ES,Single,In Room
benzx059,Green Prairie,GP 107 A1,"Suite, 2 X 2",In Room
handb023,Green Prairie,GP 107 A2,"Suite, 2 X 2",In Room
wang5641,Green Prairie,GP 107 B1,"Suite, 2 X 2",In Room
zhan4080,Green Prairie,GP 107 B2,"Suite, 2 X 2",In Room
kneis018,Green Prairie,GP 109CA,Staff Room,In Room
rinke032,Green Prairie,GP 110 A1,"Suite, 2 X 2",In Room
walco005,Green Prairie,GP 110 A2,"Suite, 2 X 2",In Room
bisg0007,Green Prairie,GP 110 B1,"Suite, 2 X 2",In Room
jinxx531,Green Prairie,GP 110 B2,"Suite, 2 X 2",In Room
palle017,Green Prairie,GP 112 A1,"Suite, 2 X 2",In Room
camp0690,Green Prairie,GP 112 A2,"Suite, 2 X 2",In Room
kurtz189,Green Prairie,GP 112 B1,"Suite, 2 X 2",In Room
fengx417,Green Prairie,GP 112 B2,"Suite, 2 X 2",In Room
medly004,Green Prairie,GP 113 A1,"Suite, 2 X 2",In Room
coroc001,Green Prairie,GP 113 A2,"Suite, 2 X 2",In Room
guid0045,Green Prairie,GP 113 B1,"Suite, 2 X 2",In Room
tippe006,Green Prairie,GP 113 B2,"Suite, 2 X 2",In Room
rojas063,Green Prairie,GP 123CA,Staff Room,In Room
moor1117,Green Prairie,GP 124s,Single,In Room
hughe484,Green Prairie,GP 125 A,"Suite, 4 X 1",In Room
wolfx585,Green Prairie,GP 125 B,"Suite, 4 X 1",In Room
becer040,Green Prairie,GP 125 C,"Suite, 4 X 1",In Room
montb009,Green Prairie,GP 125 D,"Suite, 4 X 1",In Room
lavoy014,Green Prairie,GP 126 A,"Suite, 4 X 1",In Room
clayx100,Green Prairie,GP 126 B,"Suite, 4 X 1",In Room
dahlk080,Green Prairie,GP 126 C,"Suite, 4 X 1",In Room
riley464,Green Prairie,GP 126 D,"Suite, 4 X 1",In Room
kowl0012,Green Prairie,GP 129 A,"Suite, 4 X 1",In Room
opdah023,Green Prairie,GP 129 B,"Suite, 4 X 1",In Room
will4622,Green Prairie,GP 129 C,"Suite, 4 X 1",In Room
mckim020,Green Prairie,GP 129 D,"Suite, 4 X 1",In Room
hamer056,Green Prairie,GP 130 A,"Suite, 4 X 1",In Room
helmx027,Green Prairie,GP 130 B,"Suite, 4 X 1",In Room
olso6672,Green Prairie,GP 130 C,"Suite, 4 X 1",In Room
cookx767,Green Prairie,GP 130 D,"Suite, 4 X 1",In Room
gregg109,Green Prairie,GP 206s,Single,In Room
koleo005,Green Prairie,GP 207 A1,"Suite, 2 X 2",In Room
dicex003,Green Prairie,GP 207 A2,"Suite, 2 X 2",In Room
xuxx1023,Green Prairie,GP 207 B1,"Suite, 2 X 2",In Room
herzi017,Green Prairie,GP 207 B2,"Suite, 2 X 2",In Room
magnu428,Green Prairie,GP 209CA,Staff Room,In Room
elhar009,Green Prairie,GP 210 A1,"Suite, 2 X 2",In Room
leblo003,Green Prairie,GP 210 A2,"Suite, 2 X 2",In Room
pinni004,Green Prairie,GP 210 B1,"Suite, 2 X 2",In Room
kexxx068,Green Prairie,GP 210 B2,"Suite, 2 X 2",In Room
dahle120,Green Prairie,GP 212 A1,"Suite, 2 X 2",In Room
roese028,Green Prairie,GP 212 A2,"Suite, 2 X 2",In Room
ludew017,Green Prairie,GP 212 B1,"Suite, 2 X 2",In Room
lamon043,Green Prairie,GP 212 B2,"Suite, 2 X 2",In Room
hasta011,Green Prairie,GP 213 A1,"Suite, 2 X 2",In Room
boerb019,Green Prairie,GP 213 B1,"Suite, 2 X 2",In Room
rheau008,Green Prairie,GP 213 B2,"Suite, 2 X 2",In Room
pete9381,Green Prairie,GP 223CA,Staff Room,In Room
wuxx1265,Green Prairie,GP 224CA,Staff Room,In Room
jorda525,Green Prairie,GP 225 A,"Suite, 4 X 1",In Room
bisho122,Green Prairie,GP 225 B,"Suite, 4 X 1",In Room
dunga011,Green Prairie,GP 225 C,"Suite, 4 X 1",In Room
colem491,Green Prairie,GP 225 D,"Suite, 4 X 1",In Room
gaoxx766,Green Prairie,GP 226 A,"Suite, 4 X 1",In Room
yeske005,Green Prairie,GP 226 B,"Suite, 4 X 1",In Room
qianx248,Green Prairie,GP 226 C,"Suite, 4 X 1",In Room
monta179,Green Prairie,GP 226 D,"Suite, 4 X 1",In Room
czern011,Green Prairie,GP 229 A,"Suite, 4 X 1",In Room
nassx021,Green Prairie,GP 229 B,"Suite, 4 X 1",In Room
fengx246,Green Prairie,GP 229 C,"Suite, 4 X 1",In Room
harla044,Green Prairie,GP 229 D,"Suite, 4 X 1",In Room
malon377,Green Prairie,GP 230 A,"Suite, 4 X 1",In Room
piyam001,Green Prairie,GP 230 B,"Suite, 4 X 1",In Room
yuxx0402,Green Prairie,GP 230 D,"Suite, 4 X 1",In Room
